invoice_no,invoice_type,invoice_date,invoice_year,invoice_quarter,invoice_month,invoice_dow,invoice_hour,is_complete_quarter,stock_code,description,line_type,is_product_line,is_revenue_line,quantity,unit_price,line_revenue,is_return,customer_id,is_identified_customer,country,is_country_known,operator_note,has_negative_price,is_extreme_quantity
INV00044,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST007,1,Oz,1,note INV00044,0,0
INV00125,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,POST,DOTCOM POSTAGE,POSTAGE,0,1,1,5000.0,5000.0,0,,0,Wonderland,1,note INV00125,0,0
INV00147,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P002,BETA NOTEBOOK,PRODUCT,1,1,13,5.0,65.0,0,,0,Oz,1,note INV00147,0,0
INV00028,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Oz,1,note INV00028,0,0
INV00127,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Wonderland,1,note INV00127,1,0
INV00232,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P003,GAMMA CANDLE,PRODUCT,1,1,7,2.5,17.5,0,,0,Oz,1,note INV00232,0,0
INV00115,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST004,1,Wonderland,1,note INV00115,0,0
INV00262,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,CUST003,1,Atlantis,1,note INV00262,0,0
INV00001,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,,0,Wonderland,1,note INV00001,0,0
INV00047,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,POST,DOTCOM POSTAGE,POSTAGE,0,1,1,5000.0,5000.0,0,,0,Oz,1,note INV00047,0,0
INV00033,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST033,1,Oz,1,note INV00033,0,0
INV00027,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST027,1,Oz,1,note INV00027,0,0
INV00176,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P005,EPSILON CLOCK,PRODUCT,1,1,10,12.0,120.0,0,,0,Narnia,1,note INV00176,0,0
INV00234,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P005,EPSILON CLOCK,PRODUCT,1,1,9,12.0,108.0,0,CUST012,1,Oz,1,note INV00234,0,0
INV00012,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST012,1,Wonderland,1,note INV00012,0,0
INV00200,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P003,GAMMA CANDLE,PRODUCT,1,1,10,2.5,25.0,0,CUST015,1,Atlantis,1,note INV00200,0,0
INV00101,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Atlantis,1,note INV00101,1,0
INV00262,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST003,1,Atlantis,1,note INV00262,0,0
INV00060,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST023,1,Narnia,1,note INV00060,0,0
INV00058,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST021,1,Narnia,1,note INV00058,0,0
INV00144,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P004,DELTA LAMP,PRODUCT,1,1,15,9.0,135.0,0,CUST033,1,Oz,1,note INV00144,0,0
INV00283,cancellation,2021-04-18 10:00:00,2021,2021-Q2,2021-04,0,10,1,P001,ALPHA MUG,PRODUCT,1,1,-7,3.0,-21.0,1,CUST005,1,Oz,1,note INV00283,0,0
INV00171,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P005,EPSILON CLOCK,PRODUCT,1,1,10,12.0,120.0,0,CUST023,1,Narnia,1,note INV00171,0,0
INV00008,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,,0,Wonderland,1,note INV00008,0,0
INV00023,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Wonderland,1,note INV00023,1,0
INV00241,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,CUST019,1,Narnia,1,note INV00241,0,0
INV00231,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,,0,Oz,1,note INV00231,0,0
INV00068,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST031,1,Narnia,1,note INV00068,0,0
INV00057,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,,0,Narnia,1,note INV00057,0,0
INV00053,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST016,1,Narnia,1,note INV00053,0,0
INV00261,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P005,EPSILON CLOCK,PRODUCT,1,1,9,12.0,108.0,0,CUST002,1,Atlantis,1,note INV00261,0,0
INV00281,cancellation,2021-04-18 10:00:00,2021,2021-Q2,2021-04,0,10,1,P004,DELTA LAMP,PRODUCT,1,1,-5,9.0,-45.0,1,CUST003,1,Atlantis,1,note INV00281,0,0
INV00078,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,DISC,VOLUME DISCOUNT,DISCOUNT,0,1,1,-12.0,-12.0,0,,0,Narnia,1,note INV00078,1,0
INV00143,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P003,GAMMA CANDLE,PRODUCT,1,1,14,2.5,35.0,0,CUST032,1,Oz,1,note INV00143,0,0
INV00139,invoice,2021-05-20 14:00:00,2021,2021-Q2,2021-05,3,14,1,P004,DELTA LAMP,PRODUCT,1,1,15,9.0,135.0,0,CUST028,1,Oz,1,note INV00139,0,0
INV00256,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,DISC,VOLUME DISCOUNT,DISCOUNT,0,1,1,-12.0,-12.0,0,,0,Narnia,1,note INV00256,1,0
INV00159,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P003,GAMMA CANDLE,PRODUCT,1,1,8,2.5,20.0,0,CUST011,1,Narnia,1,note INV00159,0,0
INV00184,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P002,BETA NOTEBOOK,PRODUCT,1,1,9,5.0,45.0,0,CUST036,1,Atlantis,1,note INV00184,0,0
INV00141,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P001,ALPHA MUG,PRODUCT,1,1,12,3.0,36.0,0,,0,Oz,1,note INV00141,0,0
INV00222,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,ADJ,STOCK ADJUSTMENT,ADJUSTMENT,0,1,1,-15.0,-15.0,0,,0,Wonderland,1,note INV00222,1,0
INV00100,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,FEE,BANK FEE,FEE,0,1,1,-40.0,-40.0,0,,0,Atlantis,1,note INV00100,1,0
INV00142,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P002,BETA NOTEBOOK,PRODUCT,1,1,13,5.0,65.0,0,CUST031,1,Oz,1,note INV00142,0,0
INV00040,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,CUST003,1,Oz,1,note INV00040,0,0
INV00211,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P003,GAMMA CANDLE,PRODUCT,1,1,7,2.5,17.5,0,,0,Wonderland,1,note INV00211,0,0
INV00264,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P003,GAMMA CANDLE,PRODUCT,1,1,7,2.5,17.5,0,CUST005,1,Atlantis,1,note INV00264,0,0
INV00043,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Oz,1,note INV00043,0,0
INV00263,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,CUST004,1,Atlantis,1,note INV00263,0,0
INV00272,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,DISC,VOLUME DISCOUNT,DISCOUNT,0,1,1,-12.0,-12.0,0,,0,Atlantis,1,note INV00272,1,0
INV00135,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P005,EPSILON CLOCK,PRODUCT,1,1,16,12.0,192.0,0,CUST024,1,Oz,1,note INV00135,0,0
INV00079,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST005,1,Atlantis,1,note INV00079,0,0
INV00073,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,POST,DOTCOM POSTAGE,POSTAGE,0,1,1,5000.0,5000.0,0,,0,Narnia,1,note INV00073,0,0
INV00094,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST020,1,Atlantis,1,note INV00094,0,0
INV00068,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST031,1,Narnia,1,note INV00068,0,0
INV00156,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,DISC,VOLUME DISCOUNT,DISCOUNT,0,1,1,-12.0,-12.0,0,,0,Oz,1,note INV00156,1,0
INV00215,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,CUST030,1,Wonderland,1,note INV00215,0,0
INV00148,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P003,GAMMA CANDLE,PRODUCT,1,1,14,2.5,35.0,0,,0,Oz,1,note INV00148,0,0
INV00063,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Narnia,1,note INV00063,0,0
INV00199,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P002,BETA NOTEBOOK,PRODUCT,1,1,9,5.0,45.0,0,CUST014,1,Atlantis,1,note INV00199,0,0
INV00246,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,,0,Narnia,1,note INV00246,0,0
INV00236,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,FEE,BANK FEE,FEE,0,1,1,-40.0,-40.0,0,,0,Oz,1,note INV00236,1,0
INV00160,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P004,DELTA LAMP,PRODUCT,1,1,9,9.0,81.0,0,CUST012,1,Narnia,1,note INV00160,0,0
INV00155,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,CAR,CARRIAGE,CARRIAGE,0,1,1,30.0,30.0,0,,0,Oz,1,note INV00155,0,0
INV00115,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,CUST004,1,Wonderland,1,note INV00115,0,0
INV00050,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,ADJ,STOCK ADJUSTMENT,ADJUSTMENT,0,1,1,-15.0,-15.0,0,,0,Oz,1,note INV00050,1,0
INV00259,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P003,GAMMA CANDLE,PRODUCT,1,1,7,2.5,17.5,0,,0,Atlantis,1,note INV00259,0,0
INV00275,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P001,ALPHA MUG,PRODUCT,1,1,2,3.0,6.0,0,CUST002,1,Tortuga,1,note INV00275,0,0
INV00119,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,,0,Wonderland,1,note INV00119,0,0
INV00107,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST033,1,Wonderland,1,note INV00107,0,0
INV00109,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,CUST035,1,Wonderland,1,note INV00109,0,0
INV00001,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Wonderland,1,note INV00001,0,0
INV00064,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Narnia,1,note INV00064,0,0
INV00146,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P002,BETA NOTEBOOK,PRODUCT,1,1,13,5.0,65.0,0,CUST035,1,Oz,1,note INV00146,0,0
INV00036,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,,0,Oz,1,note INV00036,0,0
INV00194,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P002,BETA NOTEBOOK,PRODUCT,1,1,9,5.0,45.0,0,CUST009,1,Atlantis,1,note INV00194,0,0
INV00081,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST007,1,Atlantis,1,note INV00081,0,0
INV00088,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,CUST014,1,Atlantis,1,note INV00088,0,0
INV00062,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,CUST025,1,Narnia,1,note INV00062,0,0
INV00149,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P004,DELTA LAMP,PRODUCT,1,1,15,9.0,135.0,0,CUST001,1,Oz,1,note INV00149,0,0
INV00230,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,CUST008,1,Oz,1,note INV00230,0,0
INV00220,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,FEE,BANK FEE,FEE,0,1,1,-40.0,-40.0,0,,0,Wonderland,1,note INV00220,1,0
INV00157,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P001,ALPHA MUG,PRODUCT,1,1,6,3.0,18.0,0,CUST009,1,Narnia,1,note INV00157,0,0
INV00230,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P001,ALPHA MUG,PRODUCT,1,1,5,3.0,15.0,0,CUST008,1,Oz,1,note INV00230,0,0
INV00019,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,CUST019,1,Wonderland,1,note INV00019,0,0
INV00058,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,CUST021,1,Narnia,1,note INV00058,0,0
INV00065,invoice,2021-03-08 12:00:00,2021,2021-Q1,2021-03,1,12,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST028,1,Narnia,1,note INV00065,0,0
INV00106,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P002,BETA NOTEBOOK,PRODUCT,1,1,5,5.0,25.0,0,,0,Wonderland,1,note INV00106,0,0
INV00005,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P005,EPSILON CLOCK,PRODUCT,1,1,8,12.0,96.0,0,CUST005,1,Wonderland,1,note INV00005,0,0
INV00161,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P005,EPSILON CLOCK,PRODUCT,1,1,10,12.0,120.0,0,,0,Narnia,1,note INV00161,0,0
INV00131,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST020,1,Oz,1,note INV00131,0,0
INV00082,invoice,2021-01-11 10:00:00,2021,2021-Q1,2021-01,1,10,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,CUST008,1,Atlantis,1,note INV00082,0,0
INV00175,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P004,DELTA LAMP,PRODUCT,1,1,9,9.0,81.0,0,,0,Narnia,1,note INV00175,0,0
INV00210,invoice,2021-07-05 11:00:00,2021,2021-Q3,2021-07,0,11,0,P002,BETA NOTEBOOK,PRODUCT,1,1,6,5.0,30.0,0,,0,Wonderland,1,note INV00210,0,0
INV00146,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST035,1,Oz,1,note INV00146,0,0
INV00198,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P002,BETA NOTEBOOK,PRODUCT,1,1,9,5.0,45.0,0,CUST013,1,Atlantis,1,note INV00198,0,0
INV00151,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,POST,DOTCOM POSTAGE,POSTAGE,0,1,1,5000.0,5000.0,0,,0,Oz,1,note INV00151,0,0
INV00071,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P004,DELTA LAMP,PRODUCT,1,1,7,9.0,63.0,0,,0,Narnia,1,note INV00071,0,0
INV00177,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,POST,DOTCOM POSTAGE,POSTAGE,0,1,1,5000.0,5000.0,0,,0,Narnia,1,note INV00177,0,0
INV00205,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,MAN,MANUAL ADJUST,MANUAL,0,1,1,-25.0,-25.0,0,,0,Atlantis,1,note INV00205,1,0
INV00196,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P004,DELTA LAMP,PRODUCT,1,1,11,9.0,99.0,0,,0,Atlantis,1,note INV00196,0,0
INV00198,invoice,2021-06-14 11:00:00,2021,2021-Q2,2021-06,0,11,1,P001,ALPHA MUG,PRODUCT,1,1,8,3.0,24.0,0,CUST013,1,Atlantis,1,note INV00198,0,0
INV00131,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P001,ALPHA MUG,PRODUCT,1,1,12,3.0,36.0,0,CUST020,1,Oz,1,note INV00131,0,0
INV00096,invoice,2021-03-22 15:00:00,2021,2021-Q1,2021-03,1,15,1,P003,GAMMA CANDLE,PRODUCT,1,1,6,2.5,15.0,0,CUST022,1,Atlantis,1,note INV00096,0,0
INV00193,invoice,2021-05-27 16:00:00,2021,2021-Q2,2021-05,4,16,1,P002,BETA NOTEBOOK,PRODUCT,1,1,9,5.0,45.0,0,CUST008,1,Atlantis,1,note INV00193,0,0
INV00214,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P001,ALPHA MUG,PRODUCT,1,1,1,3.0,3.0,0,CUST029,1,Wonderland,1,note INV00214,0,0
INV00084,invoice,2021-02-15 13:00:00,2021,2021-Q1,2021-02,0,13,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,,0,Atlantis,1,note INV00084,0,0
INV00214,invoice,2021-08-09 10:00:00,2021,2021-Q3,2021-08,0,10,0,P001,ALPHA MUG,PRODUCT,1,1,5,3.0,15.0,0,CUST029,1,Wonderland,1,note INV00214,0,0
INV00105,invoice,2021-04-12 09:00:00,2021,2021-Q2,2021-04,2,9,1,P001,ALPHA MUG,PRODUCT,1,1,4,3.0,12.0,0,,0,Wonderland,1,note INV00105,0,0
