line_id,sale_date,category,product,units,price_each
L5092,2024-07-05,Garden,Terracotta Pot,2,7.00
L5093,2024-07-26,Garden,Watering Can,7,15.00
L5094,2024-07-27,Garden,Terracotta Pot,6,6.00
L5095,2024-07-02,Kitchen,Enamel Mug,11,7.00
L5096,2024-07-04,Garden,Watering Can,12,14.50
L5097,2024-07-26,Garden,Terracotta Pot,8,6.50
L5098,2024-08-19,Kitchen,Enamel Mug,9,8.00
L5099,2024-08-12,Hardware,Tape Measure,4,8.00
L5100,2024-08-10,Stationery,Ink Pen,3,3.50
L5101,2024-08-01,Stationery,Notebook,8,5.00
L5102,2024-08-23,Garden,Watering Can,2,14.00
L5103,2024-08-14,Kitchen,Enamel Mug,7,7.00
L5104,2024-08-01,Hardware,Tape Measure,6,8.00
L5105,2024-08-08,Kitchen,Enamel Mug,5,7.50
L5106,2024-08-24,Kitchen,Cast Pan,7,38.50
L5107,2024-08-03,Hardware,LED Bulb,8,5.00
L5108,2024-08-16,Hardware,Screwdriver Set,4,22.00
L5109,2024-08-10,Stationery,Ink Pen,5,3.00
L5110,2024-08-22,Garden,Watering Can,11,14.50
L5111,2024-08-28,Stationery,Ink Pen,9,3.50
L5112,2024-08-23,Hardware,Tape Measure,2,8.00
L5113,2024-08-23,Hardware,Tape Measure,4,8.50
L5114,2024-08-08,Stationery,Ink Pen,10,3.00
L5115,2024-08-21,Hardware,Tape Measure,10,8.00
L5116,2024-09-12,Stationery,Notebook,6,4.50
L5117,2024-09-26,Hardware,Screwdriver Set,12,21.50
L5118,2024-09-16,Garden,Terracotta Pot,8,6.50
L5119,2024-09-16,Garden,Watering Can,4,14.00
L5120,2024-09-24,Stationery,Notebook,10,5.00
L5121,2024-09-08,Hardware,LED Bulb,7,4.50
L5122,2024-09-08,Garden,Trowel,6,9.00
L5123,2024-09-04,Kitchen,Chopping Board,11,12.00
L5124,2024-09-08,Hardware,LED Bulb,8,4.50
L5125,2024-09-02,Garden,Watering Can,4,14.50
L5126,2024-09-23,Stationery,Notebook,4,4.50
L5127,2024-09-16,Garden,Trowel,9,9.00
L5128,2024-09-01,Hardware,LED Bulb,7,5.00
L5129,2024-09-28,Hardware,Screwdriver Set,4,22.00
L5130,2024-09-14,Hardware,LED Bulb,6,5.00
L5131,2024-09-27,Hardware,Screwdriver Set,9,21.50
L5132,2024-09-18,Garden,Terracotta Pot,7,7.00
L5133,2024-09-02,Garden,Trowel,3,8.50
L5134,2024-09-03,Kitchen,Enamel Mug,5,7.50
L5135,2024-10-14,Garden,Trowel,2,9.00
L5136,2024-10-24,Garden,Watering Can,8,15.00
L5137,2024-10-05,Hardware,Tape Measure,8,8.00
L5138,2024-10-24,Garden,Terracotta Pot,2,7.00
L5139,2024-10-07,Hardware,LED Bulb,6,5.00
L5140,2024-10-05,Hardware,Screwdriver Set,7,21.50
L5141,2024-10-07,Hardware,LED Bulb,11,5.00
L5142,2024-10-07,Garden,Trowel,1,8.50
L5143,2024-10-14,Garden,Watering Can,10,14.50
L5144,2024-10-24,Garden,Trowel,10,9.00
L5145,2024-10-26,Hardware,Tape Measure,11,8.00
L5146,2024-10-26,Garden,Terracotta Pot,8,7.00
L5147,2024-10-22,Hardware,Screwdriver Set,5,21.50
L5148,2024-10-08,Stationery,Ink Pen,12,4.00
L5149,2024-10-24,Kitchen,Cast Pan,11,38.00
L5150,2024-10-09,Hardware,Screwdriver Set,11,22.00
L5151,2024-10-25,Stationery,Ink Pen,10,4.00
L5152,2024-10-04,Kitchen,Enamel Mug,3,7.50
L5153,2024-10-05,Garden,Terracotta Pot,11,6.50
L5154,2024-10-18,Kitchen,Chopping Board,3,12.00
L5155,2024-11-25,Garden,Trowel,1,8.50
L5156,2024-11-08,Garden,Terracotta Pot,3,6.50
L5157,2024-11-15,Hardware,LED Bulb,12,4.50
L5158,2024-11-26,Kitchen,Cast Pan,7,38.50
L5159,2024-11-02,Hardware,Screwdriver Set,1,22.00
L5160,2024-11-08,Garden,Watering Can,3,14.00
L5161,2024-11-05,Hardware,Screwdriver Set,11,22.00
L5162,2024-11-27,Kitchen,Enamel Mug,7,7.50
L5163,2024-11-17,Hardware,Tape Measure,12,8.50
L5164,2024-11-10,Hardware,LED Bulb,4,4.00
L5165,2024-11-25,Hardware,Screwdriver Set,10,22.50
L5166,2024-11-16,Hardware,Screwdriver Set,10,22.00
L5167,2024-11-01,Stationery,Ink Pen,6,3.50
L5168,2024-11-19,Hardware,Screwdriver Set,2,22.00
L5169,2024-11-12,Kitchen,Enamel Mug,5,8.00
L5170,2024-11-17,Kitchen,Cast Pan,1,38.50
L5171,2024-11-12,Garden,Trowel,1,9.50
L5172,2024-11-02,Hardware,Tape Measure,11,8.00
L5173,2024-11-07,Kitchen,Chopping Board,3,12.00
L5174,2024-11-20,Kitchen,Enamel Mug,12,7.00
L5175,2024-11-13,Stationery,Notebook,9,5.00
L5176,2024-12-18,Kitchen,Cast Pan,8,37.50
L5177,2024-12-23,Garden,Terracotta Pot,2,6.00
L5178,2024-12-12,Hardware,Screwdriver Set,2,22.50
L5179,2024-12-12,Hardware,LED Bulb,7,4.00
L5180,2024-12-25,Kitchen,Cast Pan,10,37.50
L5181,2024-12-07,Hardware,Screwdriver Set,6,22.00
L5182,2024-12-06,Hardware,Tape Measure,11,8.00
L5183,2024-12-05,Kitchen,Enamel Mug,10,7.50
L5184,2024-12-17,Hardware,Tape Measure,8,7.50
L5185,2024-12-01,Stationery,Notebook,9,4.50
L5186,2024-12-03,Stationery,Notebook,6,5.00
L5187,2024-12-23,Stationery,Notebook,12,5.00
L5188,2024-12-24,Stationery,Notebook,10,5.50
L5189,2024-12-08,Hardware,LED Bulb,1,4.00
L5190,2024-12-16,Kitchen,Chopping Board,3,12.00
L5191,2024-12-08,Garden,Trowel,4,9.00
L5192,2024-12-19,Garden,Watering Can,8,14.50
L5193,2024-12-24,Garden,Terracotta Pot,12,6.50
L5194,2024-12-28,Garden,Trowel,9,9.50
L5195,2024-12-17,Hardware,Tape Measure,6,8.00
L5196,2024-12-18,Hardware,Screwdriver Set,6,22.00
L5197,2024-12-28,Hardware,LED Bulb,4,4.50
