station,reading_date,temperature_c,humidity_pct,wind_kph,pressure_hpa
ST-CHARLIE,2024-03-09,29.9,55,32.2,1020.4
ST-DELTA,2024-03-09,19.6,87,9.8,995.6
ST-ALPHA,2024-03-10,13.0,73,43.2,1005.8
ST-BRAVO,2024-03-10,3.4,45,4.8,1010.3
ST-CHARLIE,2024-03-10,20.3,44,12.1,1007.4
ST-DELTA,2024-03-10,11.1,93,30.1,1008.9
ST-ALPHA,2024-03-11,0.1,39,19.8,999.6
ST-BRAVO,2024-03-11,29.7,36,12.5,1032.5
ST-CHARLIE,2024-03-11,3.1,61,27.7,989.2
ST-DELTA,2024-03-11,28.5,64,35.2,1004.1
ST-ALPHA,2024-03-12,3.7,84,19.9,1009.3
ST-BRAVO,2024-03-12,9.7,78,43.6,1023.7
ST-CHARLIE,2024-03-12,6.0,75,9.0,1030.9
ST-DELTA,2024-03-12,11.3,69,37.3,1010.3
ST-ALPHA,2024-03-13,22.3,57,35.8,998.1
ST-BRAVO,2024-03-13,-3.4,78,20.0,1018.5
ST-CHARLIE,2024-03-13,10.2,88,41.8,986.2
ST-DELTA,2024-03-13,1.9,93,14.3,1019.3
ST-ALPHA,2024-03-14,3.9,43,24.7,1029.6
ST-BRAVO,2024-03-14,29.8,94,24.9,1013.4
ST-CHARLIE,2024-03-14,29.6,49,38.1,1022.7
ST-DELTA,2024-03-14,14.4,98,31.8,990.6
ST-ALPHA,2024-03-15,17.4,74,7.9,1013.7
ST-BRAVO,2024-03-15,4.3,49,14.1,1021.9
ST-CHARLIE,2024-03-15,20.1,64,34.2,1032.3
ST-DELTA,2024-03-15,12.2,28,44.6,995.3
ST-ALPHA,2024-03-16,8.2,44,25.9,1026.1
ST-BRAVO,2024-03-16,17.2,40,40.8,1021.0
ST-CHARLIE,2024-03-16,20.2,47,23.2,1014.9
ST-DELTA,2024-03-16,16.9,71,13.4,1034.4
ST-ALPHA,2024-03-17,4.2,40,19.7,1009.9
ST-BRAVO,2024-03-17,18.7,48,12.8,1023.3
ST-CHARLIE,2024-03-17,25.8,59,13.1,988.5
ST-DELTA,2024-03-17,11.4,49,14.7,989.2
ST-ALPHA,2024-03-18,3.5,84,43.1,1008.6
ST-BRAVO,2024-03-18,6.5,45,7.7,1019.5
ST-CHARLIE,2024-03-18,17.9,52,32.5,1023.7
ST-DELTA,2024-03-18,11.0,82,11.8,1005.8
ST-ALPHA,2024-03-19,2.9,52,28.0,1017.8
ST-BRAVO,2024-03-19,24.2,74,43.5,1019.2
ST-CHARLIE,2024-03-19,-0.5,96,37.8,1001.7
ST-DELTA,2024-03-19,24.5,56,44.6,1012.6
ST-ALPHA,2024-03-20,15.3,87,10.6,1012.5
ST-BRAVO,2024-03-20,-3.0,77,11.6,1007.9
ST-CHARLIE,2024-03-20,-0.9,30,5.0,992.4
ST-DELTA,2024-03-20,16.0,77,42.4,1021.4
ST-ALPHA,2024-03-21,21.3,80,19.6,1026.7
ST-BRAVO,2024-03-21,19.6,74,30.6,995.8
ST-CHARLIE,2024-03-21,-3.6,39,33.5,1033.0
ST-DELTA,2024-03-21,-0.7,89,41.6,1008.1
ST-ALPHA,2024-03-22,-3.3,33,4.6,1016.3
ST-BRAVO,2024-03-22,22.3,82,21.0,1015.4
ST-CHARLIE,2024-03-22,10.9,52,6.8,997.0
ST-DELTA,2024-03-22,29.2,72,5.0,1021.7
ST-ALPHA,2024-03-23,2.6,57,15.1,1009.3
ST-BRAVO,2024-03-23,15.8,84,12.3,1007.8
ST-CHARLIE,2024-03-23,28.8,84,13.0,1003.6
ST-DELTA,2024-03-23,30.7,70,25.1,1005.4
ST-ALPHA,2024-03-24,7.0,84,25.1,1005.2
ST-BRAVO,2024-03-24,2.2,83,19.1,1014.0
ST-CHARLIE,2024-03-24,5.5,64,44.5,999.5
ST-DELTA,2024-03-24,20.1,76,6.4,990.0
ST-ALPHA,2024-03-25,27.1,56,4.1,1021.6
ST-BRAVO,2024-03-25,21.0,76,22.5,990.8
ST-CHARLIE,2024-03-25,15.8,30,17.9,1022.8
ST-DELTA,2024-03-25,6.9,88,26.5,992.1
ST-ALPHA,2024-03-26,1.1,30,25.5,1026.3
ST-BRAVO,2024-03-26,19.6,39,15.8,1012.7
ST-CHARLIE,2024-03-26,8.2,67,40.6,1030.4
ST-DELTA,2024-03-26,20.9,57,13.6,1018.0
ST-ALPHA,2024-03-27,26.8,94,42.7,986.5
ST-BRAVO,2024-03-27,1.9,61,13.4,991.3
ST-CHARLIE,2024-03-27,9.1,64,17.2,1012.6
ST-DELTA,2024-03-27,10.6,86,36.1,1028.3
ST-ALPHA,2024-03-28,13.6,87,24.5,1011.4
ST-BRAVO,2024-03-28,2.4,58,5.1,1032.1
ST-CHARLIE,2024-03-28,17.4,44,22.9,1023.6
ST-DELTA,2024-03-28,20.8,48,15.4,999.5
ST-ALPHA,2024-03-29,10.9,41,20.6,1014.4
ST-BRAVO,2024-03-29,22.2,54,35.1,1001.7
ST-CHARLIE,2024-03-29,17.2,70,19.2,1019.0
ST-DELTA,2024-03-29,-1.4,54,15.6,1018.6
ST-ALPHA,2024-03-30,2.5,39,13.8,1017.7
ST-BRAVO,2024-03-30,4.8,60,12.4,1021.0
ST-CHARLIE,2024-03-30,7.9,43,18.4,1014.2
ST-DELTA,2024-03-30,4.0,57,24.8,991.1
ST-ALPHA,2024-03-31,27.6,80,24.4,1018.7
ST-BRAVO,2024-03-31,28.3,49,9.5,1013.0
ST-CHARLIE,2024-03-31,28.4,56,33.0,1014.4
ST-DELTA,2024-03-31,14.9,83,15.6,1028.4
ST-ALPHA,2024-04-01,-2.8,75,22.8,1020.2
ST-BRAVO,2024-04-01,30.1,48,32.8,1005.7
ST-CHARLIE,2024-04-01,1.7,58,19.7,1014.5
ST-DELTA,2024-04-01,9.0,50,28.1,991.1
ST-ALPHA,2024-04-02,17.6,46,33.3,1026.8
ST-BRAVO,2024-04-02,15.5,29,19.0,999.0
ST-CHARLIE,2024-04-02,10.9,64,8.4,986.3
ST-DELTA,2024-04-02,14.7,74,10.7,1028.9
ST-ALPHA,2024-04-03,8.2,89,33.8,987.2
ST-BRAVO,2024-04-03,-1.7,58,12.9,1033.7
ST-CHARLIE,2024-04-03,15.7,59,34.3,1015.0
ST-DELTA,2024-04-03,28.3,51,41.5,985.6
ST-ALPHA,2024-04-04,8.3,50,27.7,1002.1
ST-BRAVO,2024-04-04,28.3,40,35.0,1015.8
ST-CHARLIE,2024-04-04,4.6,88,8.5,1013.3
ST-DELTA,2024-04-04,0.3,64,43.3,999.7
ST-ALPHA,2024-04-05,-3.0,79,13.7,989.8
ST-BRAVO,2024-04-05,20.0,79,30.4,1027.9
ST-CHARLIE,2024-04-05,22.8,87,28.0,988.7
ST-DELTA,2024-04-05,29.0,93,8.9,1029.2
ST-ALPHA,2024-04-06,0.8,75,39.0,994.6
ST-BRAVO,2024-04-06,30.2,30,24.0,1009.9
ST-CHARLIE,2024-04-06,8.2,35,8.1,1016.5
ST-DELTA,2024-04-06,20.4,86,24.6,989.8
ST-ALPHA,2024-04-07,31.0,87,10.4,1031.4
ST-BRAVO,2024-04-07,-3.9,78,35.7,985.8
ST-CHARLIE,2024-04-07,29.2,32,43.8,999.4
ST-DELTA,2024-04-07,21.7,40,4.2,1008.3
ST-ALPHA,2024-04-08,-0.7,30,5.0,1014.9
ST-BRAVO,2024-04-08,13.0,76,37.0,1029.8
ST-CHARLIE,2024-04-08,15.7,56,16.9,1023.3
ST-DELTA,2024-04-08,0.5,86,28.3,1018.9
ST-ALPHA,2024-04-09,0.3,29,22.1,995.2
ST-BRAVO,2024-04-09,26.8,64,17.0,989.0
ST-CHARLIE,2024-04-09,3.5,76,14.3,998.5
ST-DELTA,2024-04-09,13.1,82,37.1,1030.0
ST-ALPHA,2024-04-10,29.6,76,14.7,1006.4
ST-BRAVO,2024-04-10,20.2,81,23.9,1020.5
ST-CHARLIE,2024-04-10,22.5,88,21.2,1033.7
ST-DELTA,2024-04-10,11.1,87,8.1,1017.6
ST-ALPHA,2024-04-11,15.5,64,8.6,1005.0
ST-BRAVO,2024-04-11,14.9,67,41.9,1031.7
ST-CHARLIE,2024-04-11,12.2,79,43.0,992.9
ST-DELTA,2024-04-11,29.8,87,43.7,998.5
ST-ALPHA,2024-04-12,-2.5,38,5.6,991.3
ST-BRAVO,2024-04-12,29.7,82,13.8,1000.3
ST-CHARLIE,2024-04-12,17.6,98,28.2,1020.9
ST-DELTA,2024-04-12,27.8,55,35.0,991.3
ST-ALPHA,2024-04-13,19.3,60,26.2,1032.9
ST-BRAVO,2024-04-13,5.0,81,17.6,999.3
ST-CHARLIE,2024-04-13,7.7,42,36.2,1019.9
ST-DELTA,2024-04-13,-1.1,43,44.4,1011.9
ST-ALPHA,2024-04-14,20.1,59,28.4,1011.7
ST-BRAVO,2024-04-14,3.9,89,34.8,1008.2
ST-CHARLIE,2024-04-14,7.5,82,45.4,997.7
ST-DELTA,2024-04-14,12.8,65,22.2,1033.8
ST-ALPHA,2024-04-15,5.2,92,36.5,991.8
ST-BRAVO,2024-04-15,14.6,42,24.2,995.0
ST-CHARLIE,2024-04-15,27.7,53,23.9,992.4
ST-DELTA,2024-04-15,18.6,32,16.9,1019.2
ST-ALPHA,2024-04-16,21.6,53,29.5,1011.4
ST-BRAVO,2024-04-16,11.9,54,44.0,987.8
ST-CHARLIE,2024-04-16,10.7,36,25.9,989.1
ST-DELTA,2024-04-16,3.1,33,29.0,1024.7
ST-ALPHA,2024-04-17,5.2,74,12.1,991.9
ST-BRAVO,2024-04-17,26.6,49,24.0,1010.3
ST-CHARLIE,2024-04-17,5.2,68,14.4,988.7
ST-DELTA,2024-04-17,28.2,78,8.9,1013.5
ST-ALPHA,2024-04-18,5.2,36,16.2,999.5
ST-BRAVO,2024-04-18,9.8,28,21.5,1016.4
ST-CHARLIE,2024-04-18,-3.5,51,22.2,988.3
ST-DELTA,2024-04-18,16.4,52,33.1,986.1
ST-ALPHA,2024-04-19,27.9,31,33.0,1006.5
ST-BRAVO,2024-04-19,15.4,75,19.5,1026.6
ST-CHARLIE,2024-04-19,-0.0,53,25.2,994.5
ST-DELTA,2024-04-19,19.8,55,27.8,1002.0
ST-ALPHA,2024-04-20,9.4,65,31.1,1025.7
ST-BRAVO,2024-04-20,15.9,76,36.1,1029.7
ST-CHARLIE,2024-04-20,8.0,85,25.4,1010.3
ST-DELTA,2024-04-20,30.4,57,9.6,1025.1
ST-ALPHA,2024-04-21,2.9,74,15.8,1011.9
ST-BRAVO,2024-04-21,3.2,44,39.5,1002.5
ST-CHARLIE,2024-04-21,23.4,73,42.9,999.9
ST-DELTA,2024-04-21,21.1,62,32.8,987.6
ST-ALPHA,2024-04-22,12.7,84,22.6,1011.3
ST-BRAVO,2024-04-22,14.8,35,22.8,1005.9
ST-CHARLIE,2024-04-22,20.4,62,41.0,989.7
ST-DELTA,2024-04-22,27.1,77,15.3,1015.6
ST-ALPHA,2024-04-23,18.9,93,15.5,989.5
ST-BRAVO,2024-04-23,21.2,66,33.4,1015.9
ST-CHARLIE,2024-04-23,12.5,68,18.5,1004.9
ST-DELTA,2024-04-23,22.7,71,34.2,1027.5
ST-ALPHA,2024-04-24,20.4,87,39.9,1010.2
ST-BRAVO,2024-04-24,20.2,87,42.2,1030.4
ST-CHARLIE,2024-04-24,15.5,47,24.8,992.9
ST-DELTA,2024-04-24,5.2,55,4.3,1021.4
ST-ALPHA,2024-04-25,22.1,43,8.2,995.2
ST-BRAVO,2024-04-25,11.8,32,21.1,998.0
ST-CHARLIE,2024-04-25,2.0,39,8.0,1027.2
ST-DELTA,2024-04-25,1.8,43,10.7,1011.2
ST-ALPHA,2024-04-26,11.3,75,44.6,994.9
ST-BRAVO,2024-04-26,1.0,60,10.4,1005.9
ST-CHARLIE,2024-04-26,-2.9,78,24.9,1013.1
ST-DELTA,2024-04-26,22.2,81,17.5,1004.5
ST-ALPHA,2024-04-27,25.2,64,45.2,994.9
ST-BRAVO,2024-04-27,19.6,43,16.6,987.9
ST-CHARLIE,2024-04-27,6.7,59,20.4,1024.5
ST-DELTA,2024-04-27,16.3,38,2.3,998.9
ST-ALPHA,2024-04-28,4.8,63,4.9,1029.8
ST-BRAVO,2024-04-28,20.7,85,39.8,989.1
ST-CHARLIE,2024-04-28,16.7,85,40.6,1029.2
ST-DELTA,2024-04-28,22.2,28,3.3,1024.4
ST-ALPHA,2024-04-29,30.6,70,31.2,987.2
ST-BRAVO,2024-04-29,0.4,58,3.3,1001.7
ST-CHARLIE,2024-04-29,29.6,89,23.0,990.4
ST-DELTA,2024-04-29,27.1,72,15.7,1031.4
